BlockCode,MaxAdDown,MaxAdUp
090010106003009,101.0,100.0
090010106003010,101.0,100.0
090010106003011,101.0,100.0
090010107001000,101.0,100.0
090010107001001,101.0,100.0
090010107001002,101.0,100.0
090010107001003,101.0,100.0
090010107001004,101.0,100.0
090010107001005,101.0,100.0
090010107001006,101.0,100.0
090010107001007,101.0,100.0
090010107001008,101.0,100.0
090010107001009,101.0,100.0
090010107001010,101.0,35.0
090010107001011,101.0,35.0
090010107001012,101.0,100.0
090010107001013,101.0,35.0
090010107001014,101.0,35.0
090010107001015,101.0,35.0
090010107002000,101.0,100.0
090010107002001,101.0,100.0
090010107002002,101.0,100.0
090010107002003,101.0,100.0
090010107002004,101.0,100.0
090010107002005,101.0,100.0
090010107002006,101.0,100.0
090010107002007,101.0,100.0
090010107003000,101.0,100.0
090010107003001,101.0,100.0
090010107003002,101.0,100.0
090010107003003,101.0,100.0
090010107003004,101.0,100.0
090010107003005,101.0,35.0
090010107003006,101.0,100.0
090010107003007,101.0,100.0
090010107003008,101.0,100.0
090010107003009,101.0,35.0
090010107004000,101.0,100.0
090010107004001,101.0,35.0
090010107004002,101.0,35.0
090010107004003,101.0,35.0
090010107004004,101.0,35.0
090010107004005,101.0,35.0
090010107004006,101.0,35.0
090010107004007,101.0,100.0
090010107004008,101.0,100.0
090010107004009,101.0,35.0
090010107004010,101.0,35.0
090010107004011,101.0,35.0
090010107004012,101.0,35.0
090010107004013,101.0,35.0
090010107004014,101.0,100.0
090010107004015,101.0,35.0
090010107004016,101.0,100.0
090010107004017,101.0,35.0
090010108001000,101.0,100.0
090010108001001,101.0,100.0
090010108001002,101.0,100.0
090010108001003,101.0,100.0
090010108001004,101.0,100.0
090010108001005,101.0,100.0
090010108001006,101.0,100.0
090010108001007,101.0,100.0
090010108001008,101.0,100.0
090010108001009,101.0,100.0
090010108001010,101.0,100.0
090010108001011,101.0,35.0
090010108001012,101.0,35.0
090010108001013,101.0,100.0
090010108001014,101.0,100.0
090010108001015,101.0,35.0
090010108001016,101.0,35.0
090010108002000,101.0,100.0
090010108002001,101.0,100.0
090010108002002,101.0,100.0
090010108002003,101.0,100.0
090010108002004,101.0,35.0
090010108002005,101.0,35.0
090010108002006,101.0,35.0
090010108002007,101.0,100.0
090010108002008,101.0,35.0
090010108002009,101.0,100.0
090010108002010,101.0,35.0
090010108002011,101.0,35.0
